,entity_name,fiscal_year,total_expenditures,estimated_population,expenditures_per_capita
0,Alameda,2018,2937009130,1660202,1769
1,Alameda,2017,2834852878,1645359,1723
2,Alameda,2016,2466628582,1627865,1515
3,Alameda,2015,2462509900,1594569,1544
4,Alameda,2014,2405508090,1573254,1529
5,Alameda,2013,2295382137,1548681,1482
6,Alameda,2012,2221267982,1532137,1450
7,Alameda,2011,2186575262,1521157,1437
8,Alameda,2010,2083268145,1574857,1323
9,Alameda,2009,2031238550,1556657,1305
10,Alameda,2008,1944733831,1543000,1260
11,Alameda,2007,1840512393,1526148,1206
12,Alameda,2006,1789076569,1510303,1185
13,Alameda,2005,1693220824,1507500,1123
14,Alameda,2004,1649739744,1498020,1101
15,Alameda,2003,1836243665,1496218,1227
16,Alpine,2018,18038469,1154,15631
17,Alpine,2017,16806357,1151,14602
18,Alpine,2016,14801625,1166,12694
19,Alpine,2015,14479421,1121,12917
20,Alpine,2014,18593470,1079,17232
21,Alpine,2013,15857853,1087,14589
22,Alpine,2012,18559365,1097,16918
23,Alpine,2011,14988662,1176,12745
24,Alpine,2010,14578603,1189,12261
25,Alpine,2009,15928407,1201,13263
26,Alpine,2008,16252352,1222,13300
27,Alpine,2007,15828512,1261,12552
28,Alpine,2006,12990891,1241,10468
29,Alpine,2005,11971845,1262,9486
30,Alpine,2004,11786381,1275,9244
31,Alpine,2003,10484122,1208,8679
32,Amador,2018,75455001,38094,1981
33,Amador,2017,75321932,38382,1962
34,Amador,2016,67509530,37707,1790
35,Amador,2015,65523618,36312,1804
36,Amador,2014,62404951,36151,1726
37,Amador,2013,59949058,36741,1632
38,Amador,2012,59289357,37120,1597
39,Amador,2011,58227532,37911,1536
40,Amador,2010,61056979,38022,1606
41,Amador,2009,61467665,38080,1614
42,Amador,2008,65445833,37943,1725
43,Amador,2007,69470969,38435,1807
44,Amador,2006,65969657,38133,1730
45,Amador,2005,51370044,37574,1367
46,Amador,2004,45919323,36834,1247
47,Amador,2003,38124410,36523,1044
48,Butte,2018,419566673,227621,1843
49,Butte,2017,402575447,226404,1778
50,Butte,2016,359472359,224601,1600
51,Butte,2015,346021855,224323,1543
52,Butte,2014,329455634,222316,1482
53,Butte,2013,347665055,221485,1570
54,Butte,2012,351797294,221273,1590
55,Butte,2011,344618539,221388,1557
56,Butte,2010,345569828,221768,1558
57,Butte,2009,351885090,220748,1594
58,Butte,2008,337211352,220407,1530
59,Butte,2007,334398953,218069,1533
60,Butte,2006,313286152,217209,1442
61,Butte,2005,297423988,214119,1389
62,Butte,2004,286921500,212745,1349
63,Butte,2003,281495381,210367,1338
64,Calaveras,2018,101249425,45157,2242
65,Calaveras,2017,103545726,45168,2292
66,Calaveras,2016,79017852,45207,1748
67,Calaveras,2015,74242525,45668,1626
68,Calaveras,2014,83653600,44650,1874
69,Calaveras,2013,97959949,44932,2180
70,Calaveras,2012,83653260,44840,1866
71,Calaveras,2011,72979521,45693,1597
72,Calaveras,2010,70766481,45870,1543
73,Calaveras,2009,78327109,45987,1703
74,Calaveras,2008,79546543,46127,1725
75,Calaveras,2007,72491904,46028,1575
76,Calaveras,2006,72719484,45711,1591
77,Calaveras,2005,59935893,44796,1338
78,Calaveras,2004,53644839,43339,1238
79,Calaveras,2003,49224324,42458,1159
80,Colusa,2018,61793173,22098,2796
81,Colusa,2017,57662770,22043,2616
82,Colusa,2016,56754215,21948,2586
83,Colusa,2015,52097886,21715,2399
84,Colusa,2014,56162747,21660,2593
85,Colusa,2013,53867054,21674,2485
86,Colusa,2012,47080206,21690,2171
87,Colusa,2011,46753162,21593,2165
88,Colusa,2010,46636818,22206,2100
89,Colusa,2009,45788350,21997,2082
90,Colusa,2008,48570645,21910,2217
91,Colusa,2007,41276436,21951,1880
92,Colusa,2006,37158716,21512,1727
93,Colusa,2005,33230562,20880,1592
94,Colusa,2004,33016376,20105,1642
95,Colusa,2003,34470394,19700,1750
96,Contra Costa,2018,3086181054,1149363,2685
97,Contra Costa,2017,2942527728,1139513,2582
98,Contra Costa,2016,2670142484,1123429,2377
99,Contra Costa,2015,2598449579,1102871,2356
100,Contra Costa,2014,2260176890,1087008,2079
101,Contra Costa,2013,2159734994,1074702,2010
102,Contra Costa,2012,2016639285,1065117,1893
103,Contra Costa,2011,1937982203,1056064,1835
104,Contra Costa,2010,1805784477,1073055,1683
105,Contra Costa,2009,1865767496,1060435,1759
106,Contra Costa,2008,1887446238,1051674,1795
107,Contra Costa,2007,1795654114,1042341,1723
108,Contra Costa,2006,1650775320,1029377,1604
109,Contra Costa,2005,1595294731,1020898,1563
110,Contra Costa,2004,1541478814,1003909,1535
111,Contra Costa,2003,1479194711,994908,1487
112,Del Norte,2018,74253520,27221,2728
113,Del Norte,2017,71648370,27124,2642
