,agic_sortid,taxable_year,agic,county,all_returns,all_joint_returns,all_taxable_returns,dependents_on_returns,adjusted_gross_income,tax_assessed
0,2,2008,"18,000 to 29,999",Alpine,54,13,29,27,1291000,3000
1,1,2012,Zero and Deficit,Alpine,90,12,12,25,-23000,0
2,3,2005,"30,000 to 59,999",Alpine,77,43,60,55,3380000,47000
3,4,2014,"60,000 to 99,999",Alpine,52,38,52,29,3983000,80000
4,3,2008,"30,000 to 59,999",Alpine,73,39,55,32,3207000,37000
5,1,2003,Zero and Deficit,Alpine,88,16,26,26,709000,1000
6,5,2006,"100,000 and over",Alpine,44,36,43,39,7499000,377000
7,4,2009,"60,000 to 99,999",Alpine,54,41,54,35,4204000,117000
8,5,2014,"100,000 and over",Alpine,53,47,53,33,10987000,545000
9,1,2008,Zero and Deficit,Alpine,85,11,14,36,227000,0
10,1,2010,Zero and Deficit,Alpine,81,13,11,32,406000,1000
11,4,2013,"60,000 to 99,999",Alpine,49,33,49,25,3768000,85000
12,4,2004,"60,000 to 99,999",Alpine,63,52,63,45,4920000,142000
13,5,2004,"100,000 and over",Alpine,37,29,37,27,6513000,390000
14,2,2016,"18,000 to 29,999",Alpine,54,,,13,1306000,6000
15,1,2011,Zero and Deficit,Alpine,73,10,,29,644000,0
16,3,2009,"30,000 to 59,999",Alpine,74,41,71,36,3362000,58000
17,5,2011,"100,000 and over",Alpine,51,46,51,50,9491000,442000
18,5,2012,"100,000 and over",Alpine,49,42,49,41,8685000,472000
19,2,2011,"18,000 to 29,999",Alpine,44,12,21,17,1039000,2000
20,4,2005,"60,000 to 99,999",Alpine,69,58,69,47,5407000,143000
21,3,2015,"30,000 to 59,999",Alpine,68,31,46,19,3064000,42000
22,3,2004,"30,000 to 59,999",Alpine,85,52,67,58,3669000,47000
23,1,2009,Zero and Deficit,Alpine,79,11,15,21,532000,0
24,1,2014,"Zero and Deficit to 17,999",Alpine,80,10,,21,-53000,0
25,5,2007,"100,000 and over",Alpine,48,39,48,26,8450000,444000
26,4,2011,"60,000 to 99,999",Alpine,45,32,43,24,3387000,78000
27,5,2010,"100,000 and over",Alpine,45,44,45,38,7738000,414000
28,2,2014,"18,000 to 29,999",Alpine,36,,24,13,844000,4000
