,entity_name,fiscal_year,total_revenues,estimated_population,revenues_per_capita
0,Chino,2006,101308351,78055,1298
1,Chino,2007,130508780,81224,1607
2,Chino,2008,103091347,82670,1247
3,Chino,2009,97321327,84173,1156
4,Chino,2010,95605230,84742,1128
5,Chino,2011,103694962,78537,1320
6,Chino,2012,103639800,79171,1309
7,Chino,2013,113360748,79873,1419
8,Chino,2014,125954502,81747,1541
9,Chino,2015,139821339,84465,1655
10,Chino,2016,131991886,85934,1536
11,Chico,2003,58298526,68589,850
12,Chico,2004,63243951,71317,887
13,Chico,2005,64047837,73558,871
14,Chico,2006,74289960,79091,939
15,Chico,2007,76493760,84396,906
16,Chico,2008,84358242,86949,970
17,Chico,2009,95251449,87713,1086
18,Chico,2010,81696070,88228,926
19,Chico,2011,77689872,86900,894
20,Chico,2012,89943556,87500,1028
21,Chico,2013,80265843,87671,916
22,Chico,2014,91821629,88389,1039
23,Chico,2015,95011008,89634,1060
24,Chico,2016,86937449,92464,940
25,Cerritos,2003,80352125,54228,1482
26,Cerritos,2004,71837586,54666,1314
27,Cerritos,2005,81907533,55074,1487
28,Cerritos,2006,96950096,54834,1768
29,Cerritos,2007,95286141,54943,1734
30,Cerritos,2008,92806709,54870,1691
31,Cerritos,2009,83943899,54855,1530
32,Cerritos,2010,80465925,54946,1464
33,Cerritos,2011,81513080,49181,1657
34,Cerritos,2012,78805467,49223,1601
35,Cerritos,2013,76153339,49470,1539
36,Cerritos,2014,79016121,49741,1589
37,Cerritos,2015,91221269,49968,1826
38,Cerritos,2016,83102063,49412,1682
39,Ceres,2003,25130967,36411,690
40,Ceres,2004,30331536,37338,812
41,Ceres,2005,39950513,38813,1029
42,Ceres,2006,34861454,40943,851
43,Ceres,2007,37396397,41997,890
44,Ceres,2008,30597810,42813,715
45,Ceres,2009,32552539,42998,757
46,Ceres,2010,31701980,43219,734
47,Ceres,2011,34170862,45670,748
48,Ceres,2012,34815909,45854,759
49,Ceres,2013,38811586,46320,838
50,Ceres,2014,43141243,46463,929
51,Ceres,2015,41917044,46989,892
52,Ceres,2016,41795338,47166,886
53,Cathedral City,2003,32711066,47292,692
54,Cathedral City,2004,26061991,48588,536
55,Cathedral City,2005,30039688,50632,593
56,Cathedral City,2006,66768801,51081,1307
57,Cathedral City,2007,157275629,52115,3018
58,Cathedral City,2008,37946340,52465,723
59,Cathedral City,2009,39313022,52447,750
60,Cathedral City,2010,47295829,52841,895
61,Cathedral City,2011,51931975,51603,1006
62,Cathedral City,2012,43188106,51952,831
63,Cathedral City,2013,43845750,52337,838
64,Cathedral City,2014,54405573,52595,1034
65,Cathedral City,2015,48199796,52903,911
66,Cathedral City,2016,48035173,54261,885
67,Carson,2003,63297357,94826,668
68,Carson,2004,60472251,96295,628
69,Carson,2005,66876198,98329,680
70,Carson,2006,70013802,97981,715
71,Carson,2007,76838250,98178,783
72,Carson,2008,74545382,97960,761
